RACE_DESC,Year,Population Count,% of Population
Asian/Pacific Islander,2019,4065560,5.562503356368138
Asian/Pacific Islander,2021,4171342,5.664553087516321
Asian/Pacific Islander,2022,4239493,5.77562516766983
Asian/Pacific Islander,2023,4325923,5.904212613306839
Asian/Pacific Islander,2024,4434461,6.0635800227312755
Black,2019,10034057,13.728607065321679
Black,2021,10162116,13.799838412553806
Black,2022,10156681,13.83683907570881
Black,2023,10151595,13.855349539088568
Black,2024,10138247,13.862805868563347
Hispanic,2019,18588264,25.43248184482753
Hispanic,2021,19069207,25.89539179197914
Hispanic,2022,19237024,26.207341294222807
Hispanic,2023,19464803,26.5664311149627
Hispanic,2024,19688847,26.9220767393856
Other,2019,3912572,5.353185018061963
Other,2021,4029788,5.4723271449418975
Other,2022,4060865,5.532273339408637
Other,2023,4087215,5.578413290365296
Other,2024,4105424,5.613662393522352
White,2019,36488222,49.923222715420685
White,2021,36206931,49.167889563008835
White,2022,35709125,48.64792112298992
White,2023,35238879,48.095593442276595
White,2024,34765741,47.53787497579743
