RACE_DESC,COUNT OF MISDEMEANORS,% OF MISDEMEANORS,YEAR
Asian/Pacific Islander,1624,2.4213508274936633,2012
Other,2438,3.6350082003876545,2012
Black,10062,15.00223646936037,2012
White,17463,26.03697629342478,2012
Hispanic,35483,52.90442820933353,2012
Asian/Pacific Islander,1280,2.1393949523650346,2013
Other,2020,3.37623265920107,2013
Black,9468,15.824837038275113,2013
White,14752,24.65652682600702,2013
Hispanic,32310,54.00300852415177,2013
Asian/Pacific Islander,1094,2.0598757296177745,2014
Other,1898,3.573714931274713,2014
Black,8538,16.076068536998683,2014
White,12663,23.84296742609678,2014
Hispanic,28917,54.44737337601205,2014
Asian/Pacific Islander,1009,2.1710129959549014,2015
Other,1522,3.274808503313538,2015
Black,7489,16.113693088906103,2015
White,11145,23.98011877097857,2015
Hispanic,25311,54.46036664084689,2015
Asian/Pacific Islander,831,2.0193429237947123,2016
Other,1562,3.7956842923794714,2016
Black,6777,16.46821539657854,2016
White,9936,24.144634525660962,2016
Hispanic,22046,53.572122861586315,2016
Asian/Pacific Islander,814,2.2606087536103088,2017
Other,1420,3.9435680959786716,2017
Black,5816,16.151966229726728,2017
White,8224,22.839369029104645,2017
Hispanic,19734,54.80448789157965,2017
Asian/Pacific Islander,718,2.2005639328184383,2018
Other,1538,4.713742797597155,2018
Black,5223,16.007723427730784,2018
White,7219,22.125168566875075,2018
Hispanic,17930,54.95280127497855,2018
Asian/Pacific Islander,614,2.0206674126242348,2019
Other,1680,5.528861975909958,2019
Black,4776,15.717764760086883,2019
White,6768,22.273415388665832,2019
Hispanic,16548,54.45929046271309,2019
Asian/Pacific Islander,427,2.0229296949024067,2020
Other,1236,5.855599772598067,2020
Black,3156,14.951677089255258,2020
White,4689,22.214326321773736,2020
Hispanic,11600,54.955467121470534,2020
Asian/Pacific Islander,263,1.8316038721359427,2021
Other,941,6.553381154676509,2021
Black,1997,13.907653736332614,2021
White,3259,22.696566613273905,2021
Hispanic,7899,55.01079462358103,2021
Asian/Pacific Islander,350,1.9008309346657253,2022
Other,1163,6.316189648617825,2022
Black,2353,12.77901482648129,2022
White,4058,22.03877695106718,2022
Hispanic,10489,56.96518763916798,2022
Asian/Pacific Islander,413,2.027790052535965,2023
Other,1286,6.314135611528453,2023
Black,2686,13.18800019639613,2023
White,4025,19.762360681494577,2023
Hispanic,11957,58.70771345804487,2023
Asian/Pacific Islander,324,1.639344262295082,2024
Other,1381,6.987451932807125,2024
Black,2928,14.814814814814813,2024
White,3928,19.87451932807124,2024
Hispanic,11203,56.683869662011745,2024
